what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1386043977326
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1386043980955
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1386043981006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1386043988878
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386043989445
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1386043990984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1386043994504
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386044002050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044009977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1386044010059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044013881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386044022135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044036360
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1386044036427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044046914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386044052518
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1386044054025
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1386044058705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044081878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044084889
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1386044089293
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1386044106707
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1386044142712
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1386044155330
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1386044196897
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044199033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044208271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1386044208373
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044213177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044219618
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1386044219712
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044222797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386044257295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1386044257374
